Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
128,Babar Azam,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Babar Azam, no run, good length and a bit of inward movements towards off stump"
129,Babar Azam,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Babar Azam, no run, 133 clicks, fuller on off stump, Babar defends it once again"
130,Babar Azam,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Babar Azam, no run, good length and straight, defended back to the bowler"
131,Babar Azam,Siraj,,full,straight,0,0,1,flick,"Siraj to Babar Azam, 1 run, length ball angling onto the pads, tucked to the right of mid-on for a single"
132,Babar Azam,Siraj,,full,straight,0,0,0,cover drive,"Siraj to Babar Azam, no run, 139 clicks, full on off stump, pushed towards mid-off"
133,Babar Azam,Siraj,,full,straight,0,0,4,defend,"Siraj to Babar Azam, FOUR, full and swings in, glanced to the right of the mid-wicket fielder and that will travel till the fence"
134,Babar Azam,Siraj,,full,straight,0,0,0,defend,"Siraj to Babar Azam, no run, full outside off, a cracking drive from Babar but towards mid-off"
135,Babar Azam,Siraj,,full,straight,0,0,0,cover drive,"Siraj to Babar Azam, no run, full and quick on off stump, Babar presents a solid defence"
136,Babar Azam,Siraj,,full,outside,0,0,0,cut,"Siraj to Babar Azam, no run, full and was the inswinger"
137,Fakhar Zaman,Bumrah,,full,outside,0,0,0,cover drive,"Bumrah to Fakhar Zaman, no run, full and coming in with the round the wicket angle"
138,Babar Azam,Bumrah,,full,straight,0,0,1,defend,"Bumrah to Babar Azam, 1 run, good length and wide, Azam punches at it and gets an edge that goes after a couple of bounces towards first slip"
139,Babar Azam,Bumrah,,length,outside,0,0,0,cut,"Bumrah to Babar Azam, no run, another beauty,, This was a length ball that held its line for the longest time before shaping away to beat the batter"
140,Babar Azam,Bumrah,,length,straight,0,0,0,cut,"Bumrah to Babar Azam, no run, 135 clicks, back of length, gets some steep bounce and away swing to beat Azam on the backfoot punch"
141,Babar Azam,Bumrah,,full,straight,0,0,4,flick,"Bumrah to Babar Azam, FOUR, finally Babar off the mark,, The first time that Bumrah has erred against him, was back of length and wide"
142,Fakhar Zaman,Bumrah,,full,straight,0,0,3,pull,"Bumrah to Fakhar Zaman, 3 runs, full and wide, Zaman pushes it between covers and mid-off for three runs"
143,Fakhar Zaman,Siraj,,full,straight,0,0,1,defend,"Siraj to Fakhar Zaman, 1 run, length ball on the pads, flicked towards Kuldeep at deep square leg"
144,Babar Azam,Siraj,,full,straight,0,0,0,defend,"Siraj to Babar Azam, leg byes, 1 run, back of length onto the thigh pad, deflects towards square leg"
145,Fakhar Zaman,Siraj,,full,outside,0,0,0,flick,"Siraj to Fakhar Zaman, leg byes, 1 run, India lose their review"
146,Fakhar Zaman,Siraj,,full,straight,0,0,4,flick,"Siraj to Fakhar Zaman, FOUR, a bit too full on off stump, Fakhar Zaman clears his front leg and hoists his drive to the right and over mid-off"
147,Faheem Ashraf,Kuldeep Yadav,,full,straight,1,0,0,flick,"Kuldeep Yadav to Faheem Ashraf, out Bowled,, Fifer for Kuldeep,, Length ball that skids on again, goes through the defence of Faheem Ashraf who went onto his backfoot and tried to work it leg side"
148,Faheem Ashraf,Kuldeep Yadav,,full,straight,0,0,0,cover drive,"Kuldeep Yadav to Faheem Ashraf, no run, was the one that turned back in"
149,Faheem Ashraf,Kuldeep Yadav,,full,straight,0,0,0,cover drive,"Kuldeep Yadav to Faheem Ashraf, no run, pitched up on middle, defended"
150,Shaheen Afridi,Kuldeep Yadav,,full,straight,0,0,1,defend,"Kuldeep Yadav to Shaheen Afridi, 1 run, flat delivery on off, slapped over the head of Kuldeep towards long-off"
151,Shaheen Afridi,Kuldeep Yadav,,full,outside,0,0,6,defend,"Kuldeep Yadav to Shaheen Afridi, SIX, tossed up delivery, Shaheen backs away and whacks it across the line over long-on for six"
152,Shaheen Afridi,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Shaheen Afridi, no run, tossed up outside off, Shaheen attempts a reverse sweep but misses"
153,Faheem Ashraf,Thakur,,full,outside,0,0,0,cover drive,"Thakur to Faheem Ashraf, no run, length ball angling in sharply and strikes the thigh pad"
154,Faheem Ashraf,Thakur,,full,straight,0,0,0,cover drive,"Thakur to Faheem Ashraf, no run, good length outside off, stays straight and keeps a tad low"
155,Faheem Ashraf,Thakur,,full,straight,0,0,0,cover drive,"Thakur to Faheem Ashraf, no run, length ball on off from round the wicket, cut towards point"
156,Faheem Ashraf,Thakur,,full,straight,0,0,0,cover drive,"Thakur to Faheem Ashraf, no run, full outside off, driven to short cover"
157,Faheem Ashraf,Thakur,,full,straight,0,0,2,defend,"Thakur to Faheem Ashraf, 2 runs, good length on the thigh pad, tucked towards deep mid-wicket for a couple of runs"
158,Faheem Ashraf,Thakur,,full,straight,0,0,0,cover drive,"Thakur to Faheem Ashraf, no run, full and straight on off, defended to short cover"
159,Shaheen Afridi,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Shaheen Afridi, no run, length ball on off, defended off the backfoot"
