Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
81,Theekshana,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Theekshana, no run, back of a length on the stumps, 136kph and tight, Theekshana defends off the back foot"
82,Wellalage,Hardik Pandya,,full,outside,0,0,1,cut,"Hardik Pandya to Wellalage, 1 run, back of a length outside off, Wellalage punches to sweeper cover"
83,Wellalage,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Wellalage, no run, full and wide outside off, Wellalage goes for a big loft and misses"
84,Theekshana,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Theekshana, 1 run, good length on off, pushed to extra-cover and it's an easy single"
85,Theekshana,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Theekshana, no run, dug in short at Theekshana who bends his head and lets it go"
86,Theekshana,Hardik Pandya,,short,straight,0,0,0,flick,"Hardik Pandya to Theekshana, no run, good stop by Kohli at cover, saves a run"
87,Theekshana,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Theekshana, no run, wide of the crease and angling into middle and leg, nudged to mid-wicket"
88,Wellalage,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Wellalage, 1 run, fullish around off, Wellalage opens the face of the bat and runs it down to third man"
89,Wellalage,Hardik Pandya,,full,straight,0,0,4,flick,"Hardik Pandya to Wellalage, FOUR, the luck is with Wellalage"
90,Dhananjaya,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Dhananjaya, no run, lovely delivery, wide of the crease and back of a length outside off, extra bounce too, Dhananjaya tries to run it down and misses"
91,Dhananjaya,Hardik Pandya,,full,outside,0,0,0,cover drive,"Hardik Pandya to Dhananjaya, no run, full outside off, Dhananjaya gets forward to drive to mid-off"
92,Dhananjaya,Hardik Pandya,137.0,full,straight,0,0,0,defend,"Hardik Pandya to Dhananjaya, no run, back of a length on the stumps, 137kph, Dhananjaya goes on the back foot to defend"
93,Wellalage,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Wellalage, 1 run, back of a length outside off, Wellalage stands tall to punch to sweeper cover"
94,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, good length and tight on the stumps, defended"
95,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, dug in short outside off, left alone"
